Macroregiuni  regiuni de dezvoltare si judete,Valoare Urban,Valoare Rural
 Alba,189005,136698
 Arad,222276,187991
 Arges,257683,309220
 Bacau,251091,348324
 Bihor,263162,288860
 Bistrita-Nasaud,111780,183562
 Botosani,150575,240520
 Braila,171566,108623
 Brasov,376774,171463
 Buzau,155314,248493
 Calarasi,100144,181830
 Caras-Severin,129302,117012
 Cluj,414182,268836
 Constanta,433078,222926
 Covasna,92079,107824
 Dambovita,130439,348155
 Dolj,300988,298570
 Galati,258199,236801
 Giurgiu,74831,185369
 Gorj,136877,176146
 Harghita,119174,172451
 Hunedoara,266104,94575
 Ialomita,109683,140737
 Iasi,339392,426278
 Ilfov,246326,299077
 Maramures,253487,197997
 Mehedinti,106118,127513
 Municipiul Bucuresti,1722865,0
 Mures,247961,271017
 Neamt,160340,291698
 Olt,151633,230089
 Prahova,330708,363782
 Salaj,83909,127416
 Satu Mare,145410,184948
 Sibiu,247165,141733
 Suceava,251737,389039
 Teleorman,104633,217595
 Timis,346276,305943
 Tulcea,89311,103257
 Valcea,153394,188235
 Vaslui,154427,218398
 Vrancea,109670,224386
