Macroregiuni  regiuni de dezvoltare si judete,Valoare vehicule de transport marfuri,Valoare autoturisme
 Alba,24064,140134
 Arad,28545,178871
 Arges,44771,247126
 Bacau,30075,196537
 Bihor,40507,228324
 Bistrita-Nasaud,21102,107338
 Botosani,13827,105271
 Braila,13461,101479
 Brasov,30432,230805
 Buzau,26723,146197
 Calarasi,11714,76770
 Caras-Severin,12432,103116
 Cluj,47539,309628
 Constanta,37646,296173
 Covasna,12823,75864
 Dambovita,25263,169349
 Dolj,36290,246735
 Galati,27650,180798
 Giurgiu,13732,85529
 Gorj,20058,131262
 Harghita,17965,116071
 Hunedoara,20750,159343
 Ialomita,12311,79516
 Iasi,33439,228858
 Ilfov,35309,210783
 Maramures,31554,171561
 Mehedinti,12271,91389
 Municipiul Bucuresti,200972,1256122
 Mures,28585,199255
 Neamt,24849,152368
 Olt,20111,134144
 Prahova,38099,282471
 Salaj,13866,85267
 Satu Mare,21806,131804
 Sibiu,22993,164239
 Suceava,46946,235459
 Teleorman,15213,96745
 Timis,41321,306982
 Tulcea,11925,70973
 Valcea,20514,129570
 Vaslui,16235,99776
 Vrancea,22416,105184
