IndicativJudet,JUDET,NascutiMasculinUrban,NascutiFemininUrban,NascutiMasculinRural,NascutiFemininRural
ab,Alba,884,869,616,604
ag,Arad,1110,978,881,827
ar,Arges,1297,1177,1416,1267
bc,Bacau,1224,1104,1735,1653
bh,Bihor,1283,1212,1580,1451
bn,Bistrita-Nasaud,581,515,951,834
br,Botosani,752,674,1210,1165
bt,Braila,690,651,521,484
bv,Brasov,1789,1656,1007,992
bz,Buzau,773,750,1134,1066
cj,Calarasi,498,460,968,881
cl,Caras-Severin,637,612,457,478
cs,Cluj,1995,1862,1108,1052
ct,Constanta,2314,2245,1254,1259
cv,Covasna,492,437,699,665
db,Dambovita,568,616,1588,1490
dj,Dolj,1482,1413,1249,1287
gl,Galati,1095,1122,1129,1016
gr,Giurgiu,404,350,914,808
gj,Gorj,735,618,729,625
hr,Harghita,651,638,1000,950
hd,Hunedoara,1154,1207,369,349
il,Ialomita,583,492,746,737
is,Iasi,1729,1691,2349,2247
if,Ilfov,839,824,1086,1037
mm,Maramures,1143,1088,800,801
mh,Mehedinti,528,492,586,585
ms,Mures,1310,1190,1579,1420
nt,Neamt,760,804,1290,1255
ot,Olt,759,687,889,784
ph,Prahova,1558,1472,1688,1520
sj,Salaj,497,468,670,687
sm,Satu Mare,628,594,872,782
sb,Sibiu,1249,1164,863,814
sv,Suceava,1356,1330,1956,1853
tr,Teleorman,473,426,849,819
tm,Timis,1835,1802,1213,1130
tl,Tulcea,510,396,468,449
vl,Valcea,797,762,731,687
vn,Vrancea,514,452,1066,1049
vs,Vaslui,752,736,1247,1191
