Id,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
1,1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0,0
2,1.51755,13,3.6,1.36,72.99,0.57,8.4,0,0.11
3,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0
4,1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0
5,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0,0
6,1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0
7,1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0
8,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22
9,1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0,0.06
10,1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0,0
11,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0,0
12,1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0,0.11
13,1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0,0.24
14,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0
15,1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0,0
16,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03
17,1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0,0
18,1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0
19,1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1
20,1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0,0
21,1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0,0
22,1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0,0.2
23,1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0,0
24,1.52222,14.43,0,1,72.67,0.1,11.52,0,0.08
25,1.52664,11.23,0,0.77,73.21,0,14.68,0,0
26,1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0
27,1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17
28,1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0
29,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0,0
30,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0
31,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09
32,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24
33,1.52369,13.44,0,1.58,72.22,0.32,12.24,0,0
34,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51
35,1.51852,14.09,2.19,1.66,72.67,0,9.32,0,0
36,1.51299,14.4,1.74,1.54,74.55,0,7.59,0,0
37,1.51916,14.15,0,2.09,72.74,0,10.88,0,0
38,1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0
39,1.51719,14.75,0,2,73.02,0,8.53,1.59,0.08
40,1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0
41,1.51732,14.95,0,1.8,72.99,0,8.61,1.55,0
42,1.51831,14.39,0,1.82,72.86,1.41,6.47,2.88,0
