,IndicativJudet,NumeJudet,Regiune,MacroRegiune,JUDET,NascutiMasculinUrban,NascutiFemininUrban,NascutiMasculinRural,NascutiFemininRural
0,ab,Alba,Centru,RO1,Alba,884,869,616,604
1,ag,Arges,Sud,RO3,Arad,1110,978,881,827
2,ar,Arad,Vest,RO4,Arges,1297,1177,1416,1267
3,bc,Bacau,Nord-Est,RO2,Bacau,1224,1104,1735,1653
4,bh,Bihor,Nord-Vest,RO1,Bihor,1283,1212,1580,1451
5,bn,Bistrita-Nasaud,Nord-Vest,RO1,Bistrita-Nasaud,581,515,951,834
6,br,Braila,Sud-Est,RO2,Botosani,752,674,1210,1165
7,bt,Botosani,Nord-Est,RO2,Braila,690,651,521,484
8,bv,Brasov,Centru,RO1,Brasov,1789,1656,1007,992
9,bz,Buzau,Sud-Est,RO2,Buzau,773,750,1134,1066
10,cj,Cluj,Nord-Vest,RO1,Calarasi,498,460,968,881
11,cl,Calarasi,Sud,RO3,Caras-Severin,637,612,457,478
12,cs,Caras-Severin,Vest,RO4,Cluj,1995,1862,1108,1052
13,ct,Constanta,Sud-Est,RO2,Constanta,2314,2245,1254,1259
14,cv,Covasna,Centru,RO1,Covasna,492,437,699,665
15,db,Dambovita,Sud,RO3,Dambovita,568,616,1588,1490
16,dj,Dolj,Sud-Vest,RO4,Dolj,1482,1413,1249,1287
17,gj,Gorj,Sud-Vest,RO4,Gorj,735,618,729,625
18,gl,Galati,Sud-Est,RO2,Galati,1095,1122,1129,1016
19,gr,Giurgiu,Sud,RO3,Giurgiu,404,350,914,808
20,hd,Hunedoara,Vest,RO4,Hunedoara,1154,1207,369,349
21,hr,Harghita,Centru,RO1,Harghita,651,638,1000,950
22,if,Ilfov,Bucuresti-Ilfov,RO3,Ilfov,839,824,1086,1037
23,il,Ialomita,Sud,RO3,Ialomita,583,492,746,737
24,is,Iasi,Nord-Est,RO2,Iasi,1729,1691,2349,2247
25,mh,Mehedinti,Sud-Vest,RO4,Mehedinti,528,492,586,585
26,mm,Maramures,Nord-Vest,RO1,Maramures,1143,1088,800,801
27,ms,Mures,Centru,RO1,Mures,1310,1190,1579,1420
28,nt,Neamt,Nord-Est,RO2,Neamt,760,804,1290,1255
29,ot,Olt,Sud-Vest,RO4,Olt,759,687,889,784
30,ph,Prahova,Sud,RO3,Prahova,1558,1472,1688,1520
31,sb,Sibiu,Centru,RO1,Sibiu,1249,1164,863,814
32,sj,Salaj,Nord-Vest,RO1,Salaj,497,468,670,687
33,sm,Satu Mare,Nord-Vest,RO1,Satu Mare,628,594,872,782
34,sv,Suceava,Nord-Est,RO2,Suceava,1356,1330,1956,1853
35,tl,Tulcea,Sud-Est,RO2,Tulcea,510,396,468,449
36,tm,Timis,Vest,RO4,Timis,1835,1802,1213,1130
37,tr,Teleorman,Sud,RO3,Teleorman,473,426,849,819
38,vl,Valcea,Sud-Vest,RO4,Valcea,797,762,731,687
39,vn,Vrancea,Sud-Est,RO2,Vrancea,514,452,1066,1049
40,vs,Vaslui,Nord-Est,RO2,Vaslui,752,736,1247,1191
