,Siruta,Localitate,Judet,Populatie,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
0,1017,Municipiul Alba Iulia,AB,74283,318824785.0,211529286.0,29710607.0,1422564.0,97721836.0,40431774.0,810458.0,16203007.0,283881532.0
1,1071,Ciugud,AB,2983,7291422.0,384014.0,2412953.0,0.0,0.0,4854662.0,0.0,668524.0,0.0
2,1151,Oras Abrud,AB,5513,121430.0,3363129.0,864190.0,0.0,0.0,0.0,154800.0,0.0,0.0
3,1213,Municipiul Aiud,AB,26318,6961818.0,42477373.0,100185262.0,5806866.0,5975602.0,4656510.0,49646.0,34943604.0,0.0
4,1348,Municipiul Blaj,AB,20994,38746644.0,4501309.0,19361001.0,1245421.0,0.0,490322933.0,12209604.0,2328621.0,0.0
5,1455,Oras Campeni,AB,7629,8815325.0,687772.0,7130417.0,0.0,0.0,0.0,0.0,34631277.0,0.0
6,1696,Oras Cugir,AB,26768,319083452.0,2061396.0,11295168.0,0.0,0.0,281731049.0,11318.0,12984631.0,9074846.0
7,1794,Oras Ocna Mures,AB,14641,11307713.0,59152.0,125253.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1874,Municipiul Sebes,AB,32552,76507499.0,83487298.0,3498759673.0,113057.0,0.0,33995799.0,0.0,87882090.0,3243998.0
9,1936,Oras Zlatna,AB,7974,1909903.0,18786747.0,35758805.0,0.0,41512897.0,0.0,0.0,108808.0,700.0
10,2130,Albac,AB,2126,0.0,0.0,2245866.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2309,Almasu Mare,AB,1287,0.0,0.0,2636438.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2381,Arieseni,AB,1722,0.0,0.0,89322.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2577,Avram Iancu,AB,1560,0.0,0.0,1223151.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2915,Oras Baia De Aries,AB,4076,303368.0,10627502.0,545977.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2988,Berghin,AB,2057,0.0,0.0,8580.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3039,Bistra,AB,4839,0.0,0.0,1881530.0,0.0,0.0,0.0,0.0,0.0,0.0
17,3397,Blandiana,AB,948,0.0,0.0,60375.0,0.0,0.0,0.0,0.0,0.0,0.0
18,3459,Bucium,AB,1530,0.0,0.0,142296.0,0.0,0.0,0.0,0.0,0.0,0.0
19,3761,Cenade,AB,983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,3805,Cergau,AB,1628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,3841,Ceru-Bacainti,AB,257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,3958,Cetatea De Balta,AB,3175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4008,Ciuruleasa,AB,1198,0.0,0.0,781759.0,0.0,0.0,0.0,0.0,165125.0,0.0
24,4106,Calnic,AB,1880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,4142,Cricau,AB,2112,0.0,45000.0,0.0,4503200.0,0.0,0.0,0.0,2343330.0,0.0
26,4188,Craciunelu De Jos,AB,2148,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4240,Daia Romana,AB,3150,751670.0,3031959.0,0.0,0.0,0.0,196840.0,0.0,0.0,0.0
28,4268,Dostat,AB,999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4302,Farau,AB,1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,4366,Galda De Jos,AB,4408,527045954.0,1942634.0,9827750.0,0.0,0.0,0.0,0.0,0.0,0.0
31,4482,Garbova,AB,2119,380000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,4525,Garda De Sus,AB,1696,0.0,0.0,785836.0,0.0,0.0,0.0,0.0,0.0,0.0
33,4703,Hoparta,AB,1197,0.0,0.0,44742.0,0.0,0.0,0.0,0.0,0.0,0.0
34,4767,Horea,AB,2102,0.0,0.0,3274351.0,0.0,0.0,0.0,0.0,0.0,0.0
35,4927,Ighiu,AB,6867,36510421.0,26149.0,0.0,11464.0,0.0,0.0,0.0,2139246.0,0.0
36,4981,Intregalde,AB,627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,5103,Jidvei,AB,5309,2728.0,74552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,5167,Livezile,AB,1271,206272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,5210,Lopadea Noua,AB,2716,5314484.0,0.0,213414.0,0.0,0.0,0.0,0.0,0.0,0.0
40,5309,Lunca Muresului,AB,2550,679088.0,0.0,79023.0,0.0,0.0,0.0,0.0,78506.0,0.0
41,5336,Lupsa,AB,3174,714293.0,0.0,319417.0,0.0,0.0,0.0,0.0,20200.0,0.0
42,5577,Metes,AB,2833,0.0,14030.0,275376.0,0.0,0.0,0.0,0.0,0.0,0.0
43,5700,Mihalt,AB,3279,119788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,5755,Miraslau,AB,2122,0.0,0.0,52500.0,0.0,0.0,5500.0,732091.0,3312643.0,0.0
45,5826,Mogos,AB,812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,6048,Noslac,AB,1817,468975.0,0.0,27030.0,0.0,0.0,581120.0,0.0,0.0,0.0
47,6119,Ocolis,AB,590,0.0,0.0,284948.0,0.0,0.0,0.0,0.0,0.0,0.0
48,6164,Ohaba,AB,675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,6217,Pianu,AB,3611,912054.0,1105593.0,865672.0,0.0,0.0,0.0,0.0,0.0,0.0
50,6271,Poiana Vadului,AB,1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,6397,Ponor,AB,576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,6468,Posaga,AB,1065,124344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,6547,Radesti,AB,1327,0.0,0.0,386629.0,0.0,0.0,0.0,0.0,0.0,0.0
54,6592,Rametea,AB,1051,5019692.0,0.0,91352.0,0.0,0.0,0.0,0.0,0.0,0.0
55,6627,Ramet,AB,542,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,6761,Rosia Montana,AB,2871,758947.0,0.0,0.0,0.0,0.0,0.0,0.0,331701.0,0.0
57,6930,Rosia De Secas,AB,1601,94147.0,0.0,394875.0,0.0,0.0,0.0,0.0,0.0,0.0
58,6976,Salciua,AB,1549,0.0,0.0,1069738.0,0.0,0.0,0.0,0.0,0.0,0.0
59,7044,Salistea,AB,2354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326638.0,0.0
60,7099,Sasciori,AB,6419,38208214.0,0.0,1941138.0,0.0,0.0,0.0,0.0,11828455.0,0.0
61,7197,Scarisoara,AB,1682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,7348,Sancel,AB,2703,361276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,7384,Santimbru,AB,3019,52367.0,12043916.0,12000.0,0.0,0.0,0.0,0.0,4363.0,0.0
64,7446,Sohodol,AB,1797,0.0,0.0,970845.0,0.0,0.0,0.0,0.0,0.0,0.0
65,7767,Stremt,AB,2479,0.0,71088.0,867897.0,1069862.0,0.0,0.0,0.0,0.0,0.0
66,7810,Sibot,AB,2464,421176.0,0.0,43556.0,0.0,0.0,0.0,0.0,1274.0,0.0
67,7865,Sona,AB,4433,536612.0,0.0,0.0,2837471.0,0.0,0.0,0.0,0.0,0.0
68,7945,Spring,AB,2591,570563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,8014,Sugag,AB,2913,0.0,0.0,463058.0,46139.0,0.0,0.0,0.0,0.0,0.0
70,8096,Oras Teius,AB,7519,631362.0,3645130.0,5380160.0,0.0,0.0,0.0,0.0,83328.0,0.0
71,8158,Unirea,AB,5071,11956358.0,172950.0,222472.0,0.0,0.0,0.0,0.0,1600.0,0.0
72,8229,Vadu Motilor,AB,1375,0.0,0.0,1443175.0,0.0,0.0,0.0,0.0,0.0,0.0
73,8354,Valea Lunga,AB,3138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,8425,Vidra,AB,1658,1297054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,8826,Vintu De Jos,AB,5475,1743329.0,4817723.0,4861338.0,0.0,0.0,0.0,0.0,223823.0,0.0
76,9019,Cut,AB,1269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138834.0,0.0
77,9026,Bucerdea Granoasa,AB,2406,1263165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,9262,Municipiul Arad,AR,179155,272772337.0,468102543.0,139295775.0,1775091.0,860700.0,4880670674.0,455135126.0,436620370.0,193768086.0
79,9280,Fantanele,AR,3712,496527.0,2373889.0,0.0,0.0,0.0,0.0,0.0,21847767.0,0.0
80,9333,Livada,AR,3474,0.0,27339473.0,123290.0,0.0,0.0,0.0,0.0,2321369.0,1376478.0
81,9360,Sofronea,AR,2751,916537.0,20617729.0,15216.0,0.0,0.0,291441.0,0.0,0.0,226756.0
82,9397,Vladimirescu,AR,12982,900159.0,3710123.0,2893394.0,7048.0,0.0,4188344.0,0.0,52300.0,7671325.0
83,9459,Oras Chisineu-Cris,AR,8437,4603402.0,0.0,0.0,0.0,257413515.0,273125826.0,0.0,73512.0,0.0
84,9495,Oras Curtici,AR,8716,61528237.0,785610736.0,769752.0,0.0,0.0,8342105.0,0.0,116120.0,0.0
85,9538,Oras Ineu,AR,9581,2394322.0,18352727.0,0.0,0.0,0.0,0.0,0.0,54411.0,0.0
86,9574,Oras Lipova,AR,11396,12550175.0,5340663.0,24128353.0,0.0,0.0,26426668.0,109935444.0,13782.0,0.0
87,9627,Oras Nadlac,AR,8002,254397.0,0.0,258342.0,106500.0,3378207.0,6496513.0,0.0,0.0,7285415.0
88,9654,Oras Pancota,AR,8126,28236733.0,2234705.0,0.0,0.0,0.0,0.0,0.0,871290.0,0.0
89,9690,Oras Sebis,AR,6445,1292525.0,30486148.0,14319933.0,0.0,0.0,0.0,0.0,35758719.0,0.0
90,9743,Almas,AR,2625,988182.0,133110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,9798,Apateu,AR,3431,1516455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,9832,Archis,AR,1545,2763.0,0.0,9000.0,0.0,0.0,0.0,0.0,72540.0,0.0
93,9887,Bata,AR,1059,0.0,1277451.0,817086.0,0.0,0.0,0.0,0.0,0.0,0.0
94,9930,Beliu,AR,3025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,10006,Birchis,AR,1889,48691.0,0.0,1134293.0,0.0,0.0,0.0,0.0,0.0,0.0
96,10051,Barsa,AR,1834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,10104,Barzava,AR,2543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,10195,Bocsig,AR,3396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,10239,Brazii,AR,1226,0.0,0.0,21494.0,0.0,0.0,0.0,0.0,0.0,0.0
100,10293,Buteni,AR,3407,1298197.0,132087.0,4750053.0,0.0,0.0,0.0,0.0,596428.0,0.0
101,10346,Carand,AR,1160,0.0,0.0,106592.0,0.0,0.0,0.0,0.0,0.0,0.0
102,10373,Cermei,AR,2740,0.0,0.0,420681.0,0.0,0.0,0.0,0.0,0.0,0.0
103,10417,Chisindia,AR,1317,0.0,0.0,1837939.0,0.0,0.0,0.0,0.0,0.0,0.0
104,10453,Conop,AR,2280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,10514,Covasint,AR,2721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,10532,Craiva,AR,2897,415417.0,0.0,409344.0,0.0,0.0,0.0,0.0,0.0,0.0
107,10649,Dezna,AR,1206,0.0,0.0,39641.0,0.0,0.0,0.0,0.0,2462.0,0.0
108,10701,Dieci,AR,1490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,10765,Ususau,AR,1420,0.0,0.0,150440.0,0.0,0.0,0.0,0.0,0.0,0.0
110,10827,Felnac,AR,3143,0.0,88517.0,0.0,0.0,0.0,0.0,0.0,1471522.0,0.0
111,10872,Ghioroc,AR,4084,4343620.0,1301321.0,179089.0,0.0,0.0,7202187.0,0.0,0.0,0.0
112,10916,Graniceri,AR,2545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,10943,Gurahont,AR,3900,8790006.0,581414.0,6688.0,0.0,0.0,0.0,0.0,76625.0,0.0
114,11058,Halmagiu,AR,2766,242173.0,0.0,38693.0,0.0,0.0,0.0,0.0,0.0,0.0
115,11174,Halmagel,AR,1226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,11236,Hasmas,AR,1269,0.0,0.0,0.0,0.0,0.0,0.0,74393.0,0.0,0.0
117,11307,Ignesti,AR,721,0.0,0.0,4274.0,0.0,0.0,0.0,0.0,0.0,0.0
118,11352,Iratosu,AR,2557,0.0,0.0,701957.0,0.0,0.0,24530.0,0.0,0.0,0.0
119,11398,Macea,AR,7166,0.0,0.0,167931.0,0.0,0.0,0.0,0.0,1017111.0,0.0
120,11423,Misca,AR,3787,0.0,0.0,0.0,344300.0,0.0,0.0,0.0,0.0,0.0
121,11478,Moneasa,AR,920,0.0,0.0,500783.0,0.0,0.0,0.0,0.0,3269682.0,0.0
122,11502,Olari,AR,2006,0.0,1363353.0,428109.0,0.0,0.0,0.0,0.0,0.0,0.0
123,11539,Paulis,AR,4340,0.0,0.0,31377896.0,1118394.0,0.0,0.0,0.0,0.0,0.0
124,11584,Oras Pecica,AR,14124,14624347.0,34131972.0,1133808.0,0.0,0.0,2623785.0,0.0,2120335.0,0.0
125,11637,Peregu Mare,AR,1807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,11664,Petris,AR,1382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,11735,Pilu,AR,2183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,11762,Plescuta,AR,1161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,11842,Savarsin,AR,2925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,11940,Secusigiu,AR,6216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,11995,Seleus,AR,2987,0.0,0.0,698283.0,0.0,0.0,0.0,0.0,0.0,0.0
132,12037,Semlac,AR,4236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,12055,Sintea Mare,AR,3844,0.0,1207894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,12091,Oras Santana,AR,15636,6256195.0,191755.0,2816626.0,0.0,0.0,0.0,0.0,213700.0,0.0
135,12126,Socodor,AR,2277,4589545.0,0.0,0.0,0.0,0.0,0.0,0.0,21689545.0,0.0
136,12144,Sagu,AR,4159,0.0,1369820.0,49629.0,0.0,0.0,0.0,0.0,1561175.0,0.0
137,12206,Seitin,AR,3091,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0
138,12224,Sepreus,AR,2907,0.0,321547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,12242,Sicula,AR,4277,10357.0,0.0,28898513.0,0.0,0.0,0.0,0.0,0.0,0.0
140,12288,Silindia,AR,875,0.0,0.0,152937.0,0.0,0.0,0.0,0.0,0.0,0.0
141,12340,Simand,AR,4433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40010.0,0.0
142,12368,Siria,AR,9083,259463.0,0.0,0.0,0.0,0.0,0.0,4245452.0,0.0,0.0
143,12402,Sistarovat,AR,319,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,12457,Taut,AR,1665,0.0,0.0,210517.0,0.0,0.0,0.0,0.0,0.0,0.0
145,12509,Tarnova,AR,6203,200106.0,0.0,0.0,89400.0,0.0,0.0,0.0,0.0,0.0
146,12572,Varadia De Mures,AR,1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,12643,Vinga,AR,6866,63531.0,14149436.0,6725.0,0.0,0.0,0.0,0.0,0.0,0.0
148,12689,Varfurile,AR,2681,242307.0,0.0,1522153.0,0.0,0.0,0.0,0.0,0.0,0.0
149,12778,Zabrani,AR,4607,31714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,12812,Zarand,AR,2745,280199.0,0.0,4708847.0,0.0,0.0,0.0,0.0,0.0,0.0
151,12849,Zerind,AR,1443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,12876,Zimandu Nou,AR,4900,477684.0,0.0,1395007.0,114197.0,0.0,527284283.0,0.0,3025892.0,0.0
153,12912,Dorobanti,AR,1609,461645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,12920,Frumuseni,AR,2765,427970.0,190395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,12938,Zadareni,AR,2838,0.0,0.0,105071.0,0.0,0.0,0.0,0.0,98695.0,0.0
